"list_id","child_id","wishes","submitted_date"
1,160,"{""colors"":[""White"",""Brown"",""Blue""],""first_choice"":""Toy kitchen sets"",""second_choice"":""Barbie dolls""}",2024-05-11 00:00:00.000
2,97,"{""colors"":[""Orange""],""first_choice"":""LEGO blocks"",""second_choice"":""Building sets""}",2024-02-05 00:00:00.000
3,548,"{""colors"":[""Brown"",""Purple"",""White"",""Yellow"",""Purple""],""first_choice"":""LEGO blocks"",""second_choice"":""Toy trains""}",2024-06-18 00:00:00.000
4,978,"{""colors"":[""Red"",""Purple""],""first_choice"":""Building sets"",""second_choice"":""Rubiks cubes""}",2024-03-10 00:00:00.000
5,983,"{""colors"":[""Yellow"",""Blue""],""first_choice"":""Toy trucks"",""second_choice"":""Stuffed animals""}",2024-10-13 00:00:00.000
6,577,"{""colors"":[""Yellow"",""Pink""],""first_choice"":""Jigsaw puzzles"",""second_choice"":""Action figures""}",2024-05-27 00:00:00.000
7,225,"{""colors"":[""Red"",""Blue""],""first_choice"":""Barbie dolls"",""second_choice"":""Play-Doh""}",2024-05-05 00:00:00.000
8,236,"{""colors"":[""Blue""],""first_choice"":""Dollhouses"",""second_choice"":""Action figures""}",2024-10-18 00:00:00.000
9,549,"{""colors"":[""Green"",""Red"",""Orange"",""Orange"",""Black""],""first_choice"":""Dollhouses"",""second_choice"":""Toy trains""}",2024-12-17 00:00:00.000
10,219,"{""colors"":[""Yellow"",""Pink"",""Blue"",""Brown""],""first_choice"":""Teddy bears"",""second_choice"":""Building sets""}",2024-09-06 00:00:00.000
11,40,"{""colors"":[""Orange"",""Yellow""],""first_choice"":""Hula hoops"",""second_choice"":""Jump ropes""}",2024-08-02 00:00:00.000
12,559,"{""colors"":[""Pink"",""Pink""],""first_choice"":""Building sets"",""second_choice"":""Toy musical instruments""}",2024-05-14 00:00:00.000
13,280,"{""colors"":[""Pink"",""Blue"",""White""],""first_choice"":""Action figures"",""second_choice"":""Board games""}",2024-10-11 00:00:00.000
